Date,Count
1/1/2013,1159
1/2/2013,741
1/3/2013,768
1/4/2013,864
1/5/2013,781
1/6/2013,697
1/7/2013,814
1/8/2013,751
1/9/2013,881
1/10/2013,845
1/11/2013,904
1/12/2013,761
1/13/2013,707
1/14/2013,739
1/15/2013,838
1/16/2013,829
1/17/2013,844
1/18/2013,924
1/19/2013,886
1/20/2013,684
1/21/2013,663
1/22/2013,691
1/23/2013,794
1/24/2013,857
1/25/2013,824
1/26/2013,796
1/27/2013,703
1/28/2013,904
1/29/2013,905
1/30/2013,852
1/31/2013,751
2/1/2013,843
2/2/2013,733
2/3/2013,590
2/4/2013,722
2/5/2013,787
2/6/2013,823
2/7/2013,752
2/8/2013,816
2/9/2013,799
2/10/2013,757
2/11/2013,756
2/12/2013,779
2/13/2013,853
2/14/2013,748
2/15/2013,927
2/16/2013,689
2/17/2013,692
2/18/2013,754
2/19/2013,744
2/20/2013,764
2/21/2013,767
2/22/2013,761
2/23/2013,697
2/24/2013,676
2/25/2013,755
2/26/2013,672
2/27/2013,821
2/28/2013,804
3/1/2013,954
3/2/2013,761
3/3/2013,711
3/4/2013,812
3/5/2013,690
3/6/2013,720
3/7/2013,828
3/8/2013,876
3/9/2013,837
3/10/2013,691
3/11/2013,819
3/12/2013,835
3/13/2013,815
3/14/2013,840
3/15/2013,874
3/16/2013,823
3/17/2013,770
3/18/2013,789
3/19/2013,769
3/20/2013,787
3/21/2013,756
3/22/2013,858
3/23/2013,778
3/24/2013,786
3/25/2013,754
3/26/2013,772
3/27/2013,774
3/28/2013,829
3/29/2013,868
3/30/2013,865
3/31/2013,766
4/1/2013,913
4/2/2013,834
4/3/2013,824
4/4/2013,927
4/5/2013,896
4/6/2013,805
4/7/2013,794
4/8/2013,893
4/9/2013,821
4/10/2013,848
4/11/2013,806
4/12/2013,916
4/13/2013,835
4/14/2013,827
4/15/2013,837
4/16/2013,857
4/17/2013,718
4/18/2013,796
4/19/2013,843
4/20/2013,802
4/21/2013,773
4/22/2013,911
4/23/2013,764
4/24/2013,904
4/25/2013,873
4/26/2013,957
4/27/2013,868
4/28/2013,794
4/29/2013,902
4/30/2013,858
5/1/2013,1135
5/2/2013,823
5/3/2013,900
5/4/2013,910
5/5/2013,825
5/6/2013,873
5/7/2013,904
5/8/2013,964
5/9/2013,831
5/10/2013,911
5/11/2013,831
5/12/2013,829
5/13/2013,886
5/14/2013,905
5/15/2013,1033
5/16/2013,967
5/17/2013,987
5/18/2013,946
5/19/2013,850
5/20/2013,956
5/21/2013,929
5/22/2013,908
5/23/2013,833
5/24/2013,929
5/25/2013,834
5/26/2013,777
5/27/2013,768
5/28/2013,843
5/29/2013,898
5/30/2013,940
5/31/2013,928
6/1/2013,1004
6/2/2013,829
6/3/2013,913
6/4/2013,854
6/5/2013,897
6/6/2013,954
6/7/2013,878
6/8/2013,920
6/9/2013,827
6/10/2013,880
6/11/2013,852
6/12/2013,825
6/13/2013,903
6/14/2013,1003
6/15/2013,885
6/16/2013,951
6/17/2013,1019
6/18/2013,926
6/19/2013,899
6/20/2013,957
6/21/2013,901
6/22/2013,922
6/23/2013,886
6/24/2013,825
6/25/2013,912
6/26/2013,950
6/27/2013,867
6/28/2013,905
6/29/2013,902
6/30/2013,929
7/1/2013,1026
7/2/2013,872
7/3/2013,873
7/4/2013,944
7/5/2013,988
7/6/2013,884
7/7/2013,896
7/8/2013,873
7/9/2013,882
7/10/2013,866
7/11/2013,882
7/12/2013,941
7/13/2013,939
7/14/2013,941
7/15/2013,1007
7/16/2013,903
7/17/2013,926
7/18/2013,919
7/19/2013,899
7/20/2013,916
7/21/2013,926
7/22/2013,1001
7/23/2013,923
7/24/2013,961
7/25/2013,914
7/26/2013,985
7/27/2013,895
7/28/2013,859
7/29/2013,889
7/30/2013,887
7/31/2013,838
8/1/2013,976
8/2/2013,962
8/3/2013,971
8/4/2013,921
8/5/2013,849
8/6/2013,897
8/7/2013,933
8/8/2013,906
8/9/2013,983
8/10/2013,1017
8/11/2013,892
8/12/2013,978
8/13/2013,891
8/14/2013,878
8/15/2013,915
8/16/2013,919
8/17/2013,940
8/18/2013,880
8/19/2013,935
8/20/2013,958
8/21/2013,862
8/22/2013,902
8/23/2013,899
8/24/2013,937
8/25/2013,946
8/26/2013,935
8/27/2013,882
8/28/2013,893
8/29/2013,868
8/30/2013,925
8/31/2013,813
9/1/2013,1048
9/2/2013,922
9/3/2013,864
9/4/2013,837
9/5/2013,919
9/6/2013,894
9/7/2013,918
9/8/2013,862
9/9/2013,861
9/10/2013,910
9/11/2013,865
9/12/2013,856
9/13/2013,871
9/14/2013,823
9/15/2013,835
9/16/2013,770
9/17/2013,829
9/18/2013,853
9/19/2013,847
9/20/2013,939
9/21/2013,902
9/22/2013,753
9/23/2013,842
9/24/2013,920
9/25/2013,877
9/26/2013,853
9/27/2013,960
9/28/2013,918
9/29/2013,754
9/30/2013,824
10/1/2013,1020
10/2/2013,864
10/3/2013,850
10/4/2013,870
10/5/2013,846
10/6/2013,740
10/7/2013,771
10/8/2013,794
10/9/2013,874
10/10/2013,844
10/11/2013,867
10/12/2013,814
10/13/2013,765
10/14/2013,778
10/15/2013,770
10/16/2013,796
10/17/2013,770
10/18/2013,828
10/19/2013,776
10/20/2013,800
10/21/2013,777
10/22/2013,748
10/23/2013,744
10/24/2013,764
10/25/2013,835
10/26/2013,735
10/27/2013,743
10/28/2013,833
10/29/2013,843
10/30/2013,823
10/31/2013,909
11/1/2013,937
11/2/2013,771
11/3/2013,794
11/4/2013,822
11/5/2013,817
11/6/2013,777
11/7/2013,763
11/8/2013,855
11/9/2013,767
11/10/2013,744
11/11/2013,675
11/12/2013,681
11/13/2013,809
11/14/2013,758
11/15/2013,920
11/16/2013,757
11/17/2013,732
11/18/2013,850
11/19/2013,846
11/20/2013,860
11/21/2013,847
11/22/2013,838
11/23/2013,662
11/24/2013,631
11/25/2013,671
11/26/2013,819
11/27/2013,719
11/28/2013,552
11/29/2013,791
11/30/2013,728
12/1/2013,793
12/2/2013,778
12/3/2013,846
12/4/2013,853
12/5/2013,747
12/6/2013,707
12/7/2013,628
12/8/2013,587
12/9/2013,616
12/10/2013,625
12/11/2013,643
12/12/2013,641
12/13/2013,765
12/14/2013,623
12/15/2013,592
12/16/2013,697
12/17/2013,741
12/18/2013,746
12/19/2013,784
12/20/2013,833
12/21/2013,764
12/22/2013,724
12/23/2013,663
12/24/2013,521
12/25/2013,411
12/26/2013,590
12/27/2013,717
12/28/2013,714
12/29/2013,703
12/30/2013,621
12/31/2013,543
1/1/2014,956
1/2/2014,475
1/3/2014,556
1/4/2014,574
1/5/2014,402
1/6/2014,363
1/7/2014,464
1/8/2014,595
1/9/2014,609
1/10/2014,630
1/11/2014,650
1/12/2014,687
1/13/2014,757
1/14/2014,680
1/15/2014,738
1/16/2014,685
1/17/2014,744
1/18/2014,661
1/19/2014,645
1/20/2014,691
1/21/2014,588
1/22/2014,622
1/23/2014,618
1/24/2014,684
1/25/2014,677
1/26/2014,593
1/27/2014,543
1/28/2014,578
1/29/2014,726
1/30/2014,747
1/31/2014,739
2/1/2014,757
2/2/2014,576
2/3/2014,676
2/4/2014,645
2/5/2014,556
2/6/2014,606
2/7/2014,691
2/8/2014,602
2/9/2014,647
2/10/2014,612
2/11/2014,590
2/12/2014,602
2/13/2014,637
2/14/2014,685
2/15/2014,637
2/16/2014,584
2/17/2014,595
2/18/2014,624
2/19/2014,704
2/20/2014,642
2/21/2014,715
2/22/2014,642
2/23/2014,631
2/24/2014,627
2/25/2014,644
2/26/2014,659
2/27/2014,612
2/28/2014,697
3/1/2014,688
3/2/2014,547
3/3/2014,588
3/4/2014,623
3/5/2014,633
3/6/2014,656
3/7/2014,755
3/8/2014,678
3/9/2014,617
3/10/2014,811
3/11/2014,695
3/12/2014,652
3/13/2014,714
3/14/2014,820
3/15/2014,839
3/16/2014,636
3/17/2014,701
3/18/2014,815
3/19/2014,759
3/20/2014,771
3/21/2014,794
3/22/2014,735
3/23/2014,644
3/24/2014,692
3/25/2014,697
3/26/2014,724
3/27/2014,713
3/28/2014,781
3/29/2014,767
3/30/2014,733
3/31/2014,733
4/1/2014,865
4/2/2014,716
4/3/2014,706
4/4/2014,801
4/5/2014,739
4/6/2014,699
4/7/2014,754
4/8/2014,741
4/9/2014,770
4/10/2014,791
4/11/2014,771
4/12/2014,858
4/13/2014,660
4/14/2014,674
4/15/2014,740
4/16/2014,764
4/17/2014,824
4/18/2014,773
4/19/2014,734
4/20/2014,675
4/21/2014,719
4/22/2014,722
4/23/2014,730
4/24/2014,759
4/25/2014,838
4/26/2014,751
4/27/2014,660
4/28/2014,716
4/29/2014,779
4/30/2014,792
5/1/2014,819
5/2/2014,852
5/3/2014,734
5/4/2014,707
5/5/2014,831
5/6/2014,815
5/7/2014,762
5/8/2014,763
5/9/2014,849
5/10/2014,795
5/11/2014,713
5/12/2014,805
5/13/2014,805
5/14/2014,769
5/15/2014,744
5/16/2014,826
5/17/2014,782
5/18/2014,842
5/19/2014,784
5/20/2014,761
5/21/2014,826
5/22/2014,783
5/23/2014,795
5/24/2014,743
5/25/2014,805
5/26/2014,770
5/27/2014,756
5/28/2014,791
5/29/2014,764
5/30/2014,812
5/31/2014,831
